id,product,amount,price,unit,tax,invoiceid,bodyid,invoicestatusid,customername,currencycode,billdate,account_code,vat_deducation,vat_status
Y7VdYmY, Ferris Lowe Michelle Ortiz,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
mzlKnyZ, Daphne Logan Stephanie Macias,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
zK3yvA6, -,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
NEWQyxE, Calvin Hughes Jorden Stafford Naida Crawford,33.0,10.3268976,m,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
9Rw7PDE, Winter Henson,1.0,44.6350512,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
R6QJNnV, Cole Benson Jaime Hogan,50.0,2.11299,m,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
AXp7zrg, -,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
KE9DYG9, Michael Lowe Quemby Barker Stephanie Macias,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
55wQmVM, Michael Lowe Raymond Coffey,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
vk7XzZN, TaShya Horton Stephanie Macias,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
kwDVG8M, Shafira Noble Stephanie Macias,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
XvEX5NN, Ferris Lowe Michelle Ortiz,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
G397y61, Daphne Logan Stephanie Macias,1.0,0.0,kpl,24.0,9kmX6A,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
7pwzMal, Yardley Michael Brody Rodriguez Kaitlin Mcknight Joshua Cunningham Christine Moses  Geraldine Miles,400.0,2.976,km,24.0,RwdRYq,xr5J,bw,Quam Curabitur Ltd,EUR,2020-10-21 00:00:00.0,R9zB,100.0,09e2f
dnJ3waM, Aiko Melendez  Maite Sawyer,3.0,138.3831576,h,24.0,RwdRYq,xr5J,bw,Quam Curabitur Ltd,EUR,2020-10-21 00:00:00.0,R9zB,100.0,09e2f
gzyAP2V, .,0.0,0.0,kpl,24.0,RwdRYq,xr5J,bw,Quam Curabitur Ltd,EUR,2020-10-21 00:00:00.0,R9zB,100.0,09e2f
4QZKq3X, Kennedy Delacruz  Amos Weeks  Reece Dominguez   Kaye Maddox,8.0,130.94368440000002,h,24.0,RwdRYq,xr5J,bw,Quam Curabitur Ltd,EUR,2020-10-21 00:00:00.0,R9zB,100.0,09e2f
nAPx9r5, Giacomo Velasquez  Quamar Terrell,8.0,8.332105200000003,h,24.0,RwdRYq,xr5J,bw,Quam Curabitur Ltd,EUR,2020-10-21 00:00:00.0,R9zB,100.0,09e2f
w7vZWAp, Ursula Jacobson Remedios Baxter,1.0,82.788,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
pw8EZ3p, Mallory Farmer,1.0,53.58,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
qZ1pYVP, Mallory Farmer,1.0,25.044,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
LEW387Z, Mallory Farmer,1.0,17.4,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
xrknMGg, Mallory Farmer,2.0,29.226,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
ZG7X5mA, Mallory Farmer,1.0,53.58,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
6gwzmW3, Mallory Farmer,1.0,17.4,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
QEzNdGw, Mallory Farmer,1.0,18.096,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
E6AQrWx, Owen Boone Ar Daquan Dominguez,2.0,55.65,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
PEvz8G2, Candice Mcclain Ar,1.0,84.516,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
aw2v7Qp, Candice Mcclain Ar,1.0,33.552,kpl,24.0,Akql6R,xr5J,VL,Velit Dui Institute,EUR,2020-10-21 00:00:00.0,99pr,100.0,09e2f
87wg9b7, Celeste Dorsey Orlando Hernandez Joelle Farmer Simon Howard Melvin Harrison,1.0,1920.0,kpl,24.0,5MZX6r,xr5J,bw,Turpis Non Enim Industries,EUR,2020-10-21 00:00:00.0,vGV5,100.0,09e2f
10RKwMZ, Wallace Lee + Abdul Dean,1.0,120.0,kpl,24.0,5MZX6r,xr5J,bw,Turpis Non Enim Industries,EUR,2020-10-21 00:00:00.0,vGV5,100.0,09e2f
VvVrEXL, Merrill Hale Isabella Thornton Dylan Munoz Cade Nielsen,20.0,79.608,kpl,24.0,X4MRAl,xr5J,bw,Donec Luctus LLP,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
WvZM7zB, Dana Hardy Emmanuel Bailey bc en Rama Vaughn Shad Stevens Galena Hunt Maxwell Langley,12.0,52.08,kpl,24.0,X4MRAl,xr5J,bw,Donec Luctus LLP,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
MEPl16G, Abdul Navarro Harding Leach Prescott Ramsey,18.0,7.5886668,kpl,24.0,X4MRAl,xr5J,bw,Donec Luctus LLP,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
vk7XzPx, Yuli James,1.0,100.68,kpl,10.0,4RpXkq,xr5J,bw,Praesent Luctus Incorporated,EUR,2020-10-21 00:00:00.0,a7vb,100.0,09e2f
kwDVGRx, Fallon Briggs Kelly Meyer Amity Delacruz,1.0,9.719999999999999,kpl,14.0,4RpXkq,xr5J,bw,Praesent Luctus Incorporated,EUR,2020-10-21 00:00:00.0,a7vb,100.0,09e2f
xrknMBa, Cameron Buchanan Flynn Ramos Cooper Sharpe,2.0,424.08,kpl,24.0,w2Jzm9,xr5J,bw,Non Lobortis Incorporated,EUR,2020-10-21 00:00:00.0,rBNa,100.0,09e2f
ZG7X5zn, Justine Osborne Flynn Ramos Breanna Fry,4.0,15.921,kpl,24.0,w2Jzm9,xr5J,bw,Non Lobortis Incorporated,EUR,2020-10-21 00:00:00.0,rBNa,100.0,09e2f
6gwzm20, Savannah Salinas / Martha Richardson Jaden Zamora,1.0,14.735999999999999,kpl,24.0,w2Jzm9,xr5J,bw,Non Lobortis Incorporated,EUR,2020-10-21 00:00:00.0,rBNa,100.0,09e2f
ZG7X79E, Solomon Garcia Ivana Stafford Ivy Hanson,4.0,87.79199999999999,kpl,24.0,mdL5V6,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
6gwzw3m, Mariam Lamb,1.0,7.4399999999999995,kpl,24.0,mdL5V6,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
QEzNz0Q, Claudia Gould,1.0,20.831999999999997,kpl,24.0,mdL5V6,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
E6AQAXb, -,1.0,0.0,kpl,24.0,mdL5V6,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-21 00:00:00.0,M5zP,100.0,09e2f
yYP7PKD, Phoebe Dickerson Yvette Copeland Ray Holcomb Melvin Fisher Graiden Garrett,46.88,28.566553199999998,m2,24.0,Akqb14,xr5J,bw,Et Pede Industries,EUR,2020-10-21 00:00:00.0,brEA,100.0,09e2f
r7y9yY0, Benedict Rivas ja Anjolie Mcpherson Nissim Gross,1.0,111.6,kpl,24.0,Akqb14,xr5J,bw,Et Pede Industries,EUR,2020-10-21 00:00:00.0,brEA,100.0,09e2f
0PA7AJE, Harper Cobb Kareem Shepard / Raphael Norman,1.0,0.0,kpl,24.0,Akqb14,xr5J,bw,Et Pede Industries,EUR,2020-10-21 00:00:00.0,brEA,100.0,09e2f
55wQw0b, Dexter English Ar Meredith Ramsey Nevada Vaughan,4.0,174.201,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
vk7X79g, Dexter English Ar Meredith Ramsey Nevada Vaughan,7.0,350.98971479999994,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
kwDVDyK, Dexter English Ar Meredith Ramsey Nevada Vaughan,4.0,120.00599999999999,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
XvEXEz1, Hu Ward  Ar Meredith Ramsey Nevada Vaughan,5.0,251.45759999999999,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
G3979Ba, Hu Ward  Ar Meredith Ramsey Nevada Vaughan,3.0,124.812,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
7pwzwVy, Hu Ward  Ar Meredith Ramsey Nevada Vaughan,1.0,85.98,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
dnJ3JDz, Hu Ward  Ar Meredith Ramsey Nevada Vaughan,33.0,322.6429092,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
gzyAyb8, Hu Ward  Ar Meredith Ramsey Nevada Vaughan,17.0,159.9303528,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
4QZKZry, Hu Ward  Ar Meredith Ramsey Nevada Vaughan,13.0,115.55815439999999,kpl,24.0,X4M8bY,xr5J,VL,Velit Dui Institute,EUR,2020-10-22 00:00:00.0,99pr,100.0,09e2f
nAPxP3l, Sacha Bradford Tara Sargent,64.0,33.852,h,24.0,G5Q0Gy,xr5J,bw,Quis Diam LLC,EUR,2020-10-22 00:00:00.0,0pQA,100.0,09e2f
w7vZvRD, Marsden Cohen Abdul York,64.0,34.7298756,h,24.0,G5Q0Gy,xr5J,bw,Quis Diam LLC,EUR,2020-10-22 00:00:00.0,0pQA,100.0,09e2f
pw8E8Wy, Rhea Dunlap Briar Blackwell,64.0,33.5990628,h,24.0,G5Q0Gy,xr5J,bw,Quis Diam LLC,EUR,2020-10-22 00:00:00.0,0pQA,100.0,09e2f
qZ1p1QA, Henry Parks Gail Carey,80.0,30.801600000000008,h,24.0,G5Q0Gy,xr5J,bw,Quis Diam LLC,EUR,2020-10-22 00:00:00.0,0pQA,100.0,09e2f
LEW3Wx3, Kermit Reynolds Brent Nash,72.0,35.459000399999994,h,24.0,G5Q0Gy,xr5J,bw,Quis Diam LLC,EUR,2020-10-22 00:00:00.0,0pQA,100.0,09e2f
xrknkQ8, -,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
ZG7X7gE, Winter Henson,-15.0,22.32,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
6gwzw4m, Jerry Harrison Sasha Pugh Tana Aguilar,-1.0,297.59999999999997,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
QEzNzwQ, -,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
E6AQA4b, Michael Lowe Quemby Barker Stephanie Macias,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
PEvzvPE, Michael Lowe Raymond Coffey,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
aw2v2gL, TaShya Horton Stephanie Macias,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
B7q6q4l, Shafira Noble Stephanie Macias,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
DG7Q74w, Ferris Lowe Michelle Ortiz,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
2qw5wZw, Daphne Logan Stephanie Macias,1.0,0.0,kpl,24.0,7GkY37,xr5J,VL,Nec Tellus PC,EUR,2020-10-22 00:00:00.0,rEBK,100.0,09e2f
lK2x2Qd, Troy Erickson Nayda Key,59.0,1.0863048000000002,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
bLlAlgZ, Mechelle Simmons M Ahmed Maxwell,32.0,1.2648755999999999,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
J3RrR4D, Hilel Welch M Ahmed Maxwell,16.0,1.116,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
87wgwQB, CE FR Sylvester Rush Kasimir Lang Meghan Avila,2.0,16.452,kpl,0.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
10RKR4D, CE FR Sylvester Rush Kasimir Lang Meghan Avila,1.0,42.779999999999994,kpl,0.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
yYP7PQD, CE FR Sylvester Rush Kasimir Lang Meghan Avila,131.0,1.1755415999999999,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
r7y9yQ0, CE FR Sylvester Rush Kasimir Lang Meghan Avila,1.0,26.328,kpl,0.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
0PA7AwE, CE Sylvester Rush Meghan Solomon,1.0,18.252,kpl,0.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
aw2v2gR, CE Sylvester Rush Meghan Solomon,36.0,1.3093332000000002,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
B7q6q4J, CE FR Sylvester Rush Yuli Wilkinson Meghan Avila,47.0,1.1458728,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
DG7Q74N, CE FR Sylvester Rush Hammett Mcmillan M PH Meghan Avila,44.0,1.0862724,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
2qw5wZ6, CE FR Sylvester Rush Whitney Rowe Meghan Avila,88.0,1.7556816,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
lK2x2QJ, CE FR Sylvester Rush Whitney Rowe Meghan Avila,1.0,75.54,kpl,0.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
bLlAlgk, CE FR Sylvester Rush Whitney Rowe Meghan Avila,2.0,116.208,kpl,0.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
J3RrR4z, Suki Fuller,4.0,8.838,kpl,24.0,d14NmW,xr5J,bw,Nec Malesuada Ut Associates,EUR,2020-10-22 00:00:00.0,rBNa,100.0,09e2f
87wgwQM, Nyssa Erickson PE Allen Freeman Justine Strong Finn Smith Odessa Camacho S Price Newton,1.0,141.35999999999999,kpl,24.0,g0n59z,xr5J,3V,Proin Incorporated,EUR,2020-10-21 00:00:00.0,d5yx,100.0,09e2f
10RKR48, Nyssa Erickson PE Allen Freeman Justine Strong Kim Villarreal,1.0,181.83599999999998,kpl,24.0,g0n59z,xr5J,3V,Proin Incorporated,EUR,2020-10-21 00:00:00.0,d5yx,100.0,09e2f
yYP7PQQ, Nyssa Erickson PE Allen Freeman Justine Strong Cameron Kirby,1.0,302.0676924,kpl,24.0,g0n59z,xr5J,3V,Proin Incorporated,EUR,2020-10-21 00:00:00.0,d5yx,100.0,09e2f
r7y9yQr, Nyssa Erickson PE Debra Fowler Myles Ellison Rhonda Simpson,1.0,300.27692279999997,kpl,24.0,g0n59z,xr5J,3V,Proin Incorporated,EUR,2020-10-21 00:00:00.0,d5yx,100.0,09e2f
0PA7AwL, Benedict Rivas,4.0,9.0,kpl,24.0,g0n59z,xr5J,3V,Proin Incorporated,EUR,2020-10-21 00:00:00.0,d5yx,100.0,09e2f
39wpw42, Kyla Cameron Joseph Hardin,1.0,-138.33870960000002,kpl,24.0,g0n59z,xr5J,3V,Proin Incorporated,EUR,2020-10-21 00:00:00.0,d5yx,100.0,09e2f
mzlKlQ6, Maggy Porter Joy Russo Evelyn Booth,32.0,16.3196808,kpl,24.0,n4w5XZ,xr5J,3V,Fringilla Euismod Enim PC,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
zK3y3QD, Belle Reed Allen Powers Adele Rich Oscar Shaw,32.0,7.620311999999999,kpl,24.0,n4w5XZ,xr5J,3V,Fringilla Euismod Enim PC,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
NEWQWgR, Ronan Roberts,1.0,1.272,kpl,24.0,n4w5XZ,xr5J,3V,Fringilla Euismod Enim PC,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
9Rw7w4W, Cassady Fry ja Anjolie Mcpherson,1.0,0.552,kpl,24.0,n4w5XZ,xr5J,3V,Fringilla Euismod Enim PC,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
lK2xdg8, Grant Blanchard,1.0,2460.0,kpl,0.0,xl7pMm,xr5J,bw,Consequat Nec Inc.,EUR,2020-10-22 00:00:00.0,JBMK,0.0,09e2f
87wglqE, Benedict Rivas,1.0,148.79999999999998,kpl,24.0,3V76gk,xr5J,3V,Dapibus Foundation,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
10RKE7w, Alisa Burns,0.0,0.0,kpl,0.0,3V76gk,xr5J,3V,Dapibus Foundation,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
yYP73nd, Conan Burton,1.0,-0.048,kpl,0.0,3V76gk,xr5J,3V,Dapibus Foundation,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
r7y9bkK, Sierra Browning Eugenia Mann,1.0,29.759999999999998,kpl,24.0,3V76gk,xr5J,3V,Dapibus Foundation,EUR,2020-10-22 00:00:00.0,brEA,100.0,09e2f
